podcast_id,title,slug,rss_url,treated
32149,First Things Podcast,first_things_podcast,https://feeds.simplecast.com/mAAlblt7,0
1583154,Flyover Conservatives,flyover_conservatives,https://anchor.fm/s/10d4e1cdc/podcast/rss,0
2009215,Flyover Country with Scott Jennings,flyover_country_with_scott_jennings,https://feed.podbean.com/scottjenningsky/feed.xml,0
5430938,Gaines for Girls with Riley Gaines,gaines_for_girls_with_riley_gaines,https://feeds.megaphone.fm/FOXM9334079337,0
1566417,Gender: A Wider Lens,gender_a_wider_lens,https://api.substack.com/feed/podcast/2180135.rss,0
1989007,Getting Hammered,getting_hammered,https://feeds.megaphone.fm/getting-hammered,0
192603,Godspeak Calvary Chapel,godspeak_calvary_chapel,https://rss.buzzsprout.com/6238.rss,0
723292,Gold Goats 'n Guns Podcast,gold_goats_n_guns_podcast,https://www.spreaker.com/show/3131277/episodes/feed,0
537281,Good Morning Orlando,good_morning_orlando,https://www.omnycontent.com/d/playlist/98a2599f-cd9b-4f2a-9be4-b22c00e585f2/813c84af-9ae9-43df-af35-b3f40111ad2f/90c86f1d-958f-4fe4-9bad-b3f40111ad38/podcast.rss,0
538241,Gutfeld! Monologues,gutfeld_monologues,https://feeds.megaphone.fm/FOXM5568185733,0
672275,Guy Benson Show,guy_benson_show,https://feeds.megaphone.fm/FOXM5038087669,0
545336,Hammer + Nigel Show Podcast,hammer_nigel_show_podcast,https://www.omnycontent.com/d/playlist/78a347aa-3282-4ac5-837c-a72300032082/831b19ec-50fc-4d91-9a43-af2c0136fa89/c29c3495-0eb1-40c1-869d-af2c0136fa93/podcast.rss,0
530187,Hank Unplugged: Essential Christian Conversations,hank_unplugged_essential_christian_conversations,https://www.spreaker.com/show/2495041/episodes/feed,0
2478608,Heterodorx,heterodorx,https://api.substack.com/feed/podcast/3588957.rss,0
5169935,Hillsdale College Podcast Network Superfeed,hillsdale_college_podcast_network_superfeed,https://www.omnycontent.com/d/playlist/0c7e618e-d306-498b-89ea-af55014957fe/e917b144-9f7d-40c4-a719-af5c0186b659/d07439d3-1acd-439f-9a9d-afb9015effb4/podcast.rss,0
31299,Hillsdale Dialogues,hillsdale_dialogues,https://www.omnycontent.com/d/playlist/0c7e618e-d306-498b-89ea-af55014957fe/e917b144-9f7d-40c4-a719-af5c0186b659/2fccf2f2-071e-4379-afac-af5c0186b66c/podcast.rss,0
220503,Hollywood in Toto with Christian Toto,hollywood_in_toto_with_christian_toto,https://www.spreaker.com/show/2043179/episodes/feed,0
99021,Holy Scriptures and Israel on Oneplace.com,holy_scriptures_and_israel_on_oneplace_com,https://www.oneplace.com/ministries/the-holy-scriptures-and-israel/subscribe/podcast.xml,0
52124,Honey Badger Radio,honey_badger_radio,https://www.spreaker.com/show/4148711/episodes/feed,0
577592,Huckabee,huckabee,https://feeds.megaphone.fm/MTCLLC4805513315,0
1979025,Human Events Daily with Jack Posobiec,human_events_daily_with_jack_posobiec,https://feeds.buzzsprout.com/1850247.rss,0
2358,Hunt Talk Radio,hunt_talk_radio,https://feeds.megaphone.fm/hunttalkradio,0
538642,IEA Podcast,iea_podcast,https://api.substack.com/feed/podcast/2659703/s/128254.rss,0
43281,In The Tank,in_the_tank,https://feeds.transistor.fm/in-the-tank,0
1972303,Informed Dissent,informed_dissent,https://feeds.blubrry.com/feeds/3946217.xml,0
1675352,Jason in the House,jason_in_the_house,https://feeds.megaphone.fm/FOXM9334533161,0
924388,Jerm Warfare,jerm_warfare,https://media.rss.com/jerm-warfare-2025/feed.xml,0
537221,Jon Justice on Twin Cities News Talk,jon_justice_on_twin_cities_news_talk,https://www.omnycontent.com/d/playlist/98a2599f-cd9b-4f2a-9be4-b22c00e585f2/47b37bed-7a8f-4bd9-b615-b3680109d273/389b9ac2-9c36-4959-af3c-b3680109d27b/podcast.rss,0
5100092,Julie Bindel's podcasts and writing,julie_bindel_s_podcasts_and_writing,https://api.substack.com/feed/podcast/886413.rss,0
994566,Just Listen to Yourself with Kira Davis,just_listen_to_yourself_with_kira_davis,https://www.spreaker.com/show/3647976/episodes/feed,0
600181,Just Thinking Podcast,just_thinking_podcast,https://anchor.fm/s/3463c2f0/podcast/rss,0
588296,Kate Dalley Radio,kate_dalley_radio,https://feeds.soundcloud.com/users/soundcloud:users:242339988/sounds.rss,0
508981,LSE IQ podcast,lse_iq_podcast,https://www.lse.ac.uk/assets/richmedia/webFeeds/lseiqpodcast_iTunesStore.xml,0
518775,Land Line Now,land_line_now,https://feeds.captivate.fm/land-line-now/,0
1037750,Last Orders - a spiked podcast,last_orders_a_spiked_podcast,https://audioboom.com/channels/5021009.rss,0
